Product,Category,N_products,Total,Percentage,Fixed,Repairable,End of Life,Fixed Cnt,Repairable Cnt,End of Life Cnt
Wall Clock - Model 66,Wall Clock,89,407,0.1%,45.5%,8.0%,46.5%,185,33,189
Wall Clock - Model 67,Wall Clock,89,24,0.0%,68.0%,5.2%,26.8%,16,1,7
Wall Clock - Model 68,Wall Clock,89,193,0.1%,58.9%,8.0%,33.2%,114,15,64
Wall Clock - Model 69,Wall Clock,89,92,0.0%,72.5%,27.5%,0.0%,67,25,0
Wall Clock - Model 70,Wall Clock,89,34,0.0%,78.4%,16.0%,5.6%,27,5,2
Wall Clock - Model 71,Wall Clock,89,16,0.0%,65.8%,20.0%,14.2%,11,3,2
Wall Clock - Model 72,Wall Clock,89,77,0.0%,54.0%,16.1%,29.9%,42,12,23
Wall Clock - Model 73,Wall Clock,89,58,0.0%,42.6%,24.9%,32.5%,25,14,19
Wall Clock - Model 74,Wall Clock,89,134,0.0%,49.6%,16.5%,33.9%,67,22,45
Wall Clock - Model 75,Wall Clock,89,262,0.1%,59.2%,19.0%,21.8%,155,50,57
Wall Clock - Model 76,Wall Clock,89,183,0.1%,72.7%,22.3%,5.0%,133,41,9
Wall Clock - Model 77,Wall Clock,89,36,0.0%,66.5%,18.2%,15.3%,24,7,5
Wall Clock - Model 78,Wall Clock,89,236,0.1%,43.8%,15.1%,41.1%,103,36,97
Wall Clock - Model 79,Wall Clock,89,200,0.1%,74.2%,25.8%,0.0%,148,52,0
Wall Clock - Model 80,Wall Clock,89,295,0.1%,69.2%,10.7%,20.1%,204,32,59
Wall Clock - Model 81,Wall Clock,89,68,0.0%,44.1%,15.4%,40.6%,30,10,28
Wall Clock - Model 82,Wall Clock,89,163,0.1%,74.3%,23.0%,2.7%,121,38,4
Wall Clock - Model 83,Wall Clock,89,100,0.0%,75.4%,20.4%,4.2%,75,20,5
Wall Clock - Model 84,Wall Clock,89,41,0.0%,45.2%,7.9%,46.9%,19,3,19
Wall Clock - Model 85,Wall Clock,89,579,0.2%,41.9%,19.2%,38.9%,243,111,225
Wall Clock - Model 86,Wall Clock,89,4,0.0%,49.7%,23.4%,26.9%,2,1,1
Wall Clock - Model 87,Wall Clock,89,20,0.0%,67.4%,13.0%,19.6%,13,3,4
Wall Clock - Model 88,Wall Clock,89,249,0.1%,47.1%,7.6%,45.4%,117,19,113
Wall Clock - Model 89,Wall Clock,89,7,0.0%,69.5%,16.3%,14.2%,5,1,1
Thermostat - Model 1,Thermostat,49,4,0.0%,57.9%,27.9%,14.2%,2,1,1
Thermostat - Model 2,Thermostat,49,128,0.0%,58.7%,11.9%,29.4%,75,15,38
Thermostat - Model 3,Thermostat,49,56,0.0%,45.7%,5.1%,49.2%,26,3,27
Thermostat - Model 4,Thermostat,49,238,0.1%,61.3%,7.7%,31.0%,146,18,74
Thermostat - Model 5,Thermostat,49,170,0.1%,55.7%,19.7%,24.6%,95,34,41
Thermostat - Model 6,Thermostat,49,16,0.0%,51.0%,9.4%,39.6%,8,2,6
Thermostat - Model 7,Thermostat,49,36,0.0%,71.0%,28.7%,0.3%,26,10,0
Thermostat - Model 8,Thermostat,49,100,0.0%,44.0%,8.9%,47.1%,44,9,47
Thermostat - Model 9,Thermostat,49,42,0.0%,78.4%,5.9%,15.7%,33,2,7
Thermostat - Model 10,Thermostat,49,320,0.1%,79.1%,5.1%,15.8%,253,16,51
Thermostat - Model 11,Thermostat,49,109,0.0%,74.9%,12.7%,12.4%,82,14,13
Thermostat - Model 12,Thermostat,49,20,0.0%,77.5%,12.9%,9.5%,16,3,1
Thermostat - Model 13,Thermostat,49,135,0.0%,66.2%,7.0%,26.8%,89,9,37
Thermostat - Model 14,Thermostat,49,19,0.0%,49.7%,24.3%,26.0%,9,5,5
Thermostat - Model 15,Thermostat,49,28,0.0%,61.1%,28.2%,10.7%,17,8,3
Thermostat - Model 16,Thermostat,49,56,0.0%,57.2%,26.7%,16.1%,32,15,9
Thermostat - Model 17,Thermostat,49,399,0.1%,58.0%,29.5%,12.6%,231,118,50
Thermostat - Model 18,Thermostat,49,526,0.2%,78.4%,13.2%,8.4%,412,70,44
Thermostat - Model 19,Thermostat,49,356,0.1%,74.6%,25.4%,0.0%,266,90,0
Thermostat - Model 20,Thermostat,49,83,0.0%,48.4%,20.6%,31.0%,40,17,26
Thermostat - Model 21,Thermostat,49,65,0.0%,42.9%,25.9%,31.2%,28,17,20
Thermostat - Model 22,Thermostat,49,162,0.1%,47.0%,6.8%,46.2%,76,11,75
Thermostat - Model 23,Thermostat,49,260,0.1%,56.0%,19.4%,24.6%,146,50,64
Thermostat - Model 24,Thermostat,49,1021,0.4%,72.4%,27.6%,0.0%,739,282,0
Thermostat - Model 25,Thermostat,49,29,0.0%,57.6%,6.5%,35.9%,17,2,10
Thermostat - Model 26,Thermostat,49,10,0.0%,70.0%,19.1%,10.9%,7,2,1
Thermostat - Model 27,Thermostat,49,241,0.1%,57.9%,12.7%,29.4%,140,31,70
Thermostat - Model 28,Thermostat,49,363,0.1%,60.1%,13.5%,26.4%,218,49,96
Thermostat - Model 29,Thermostat,49,381,0.1%,70.3%,18.6%,11.1%,268,71,42
Thermostat - Model 30,Thermostat,49,231,0.1%,75.1%,18.6%,6.3%,173,43,15
Thermostat - Model 31,Thermostat,49,627,0.2%,49.5%,26.3%,24.2%,311,165,151
Thermostat - Model 32,Thermostat,49,146,0.1%,62.3%,10.2%,27.5%,91,15,40
Thermostat - Model 33,Thermostat,49,499,0.2%,64.9%,13.9%,21.1%,324,70,105
Thermostat - Model 34,Thermostat,49,699,0.3%,73.8%,16.3%,9.9%,516,114,69
Thermostat - Model 35,Thermostat,49,382,0.1%,69.1%,7.4%,23.6%,264,28,90
Thermostat - Model 36,Thermostat,49,75,0.0%,55.8%,29.6%,14.6%,42,22,11
Thermostat - Model 37,Thermostat,49,44,0.0%,72.3%,9.0%,18.7%,32,4,8
Thermostat - Model 38,Thermostat,49,162,0.1%,51.1%,13.2%,35.6%,83,21,58
Thermostat - Model 39,Thermostat,49,123,0.0%,66.0%,23.9%,10.1%,81,29,13
Thermostat - Model 40,Thermostat,49,428,0.2%,70.0%,17.7%,12.3%,300,76,52
Thermostat - Model 41,Thermostat,49,21,0.0%,72.4%,15.9%,11.6%,15,3,3
Thermostat - Model 42,Thermostat,49,61,0.0%,45.0%,19.1%,35.9%,27,12,22
Thermostat - Model 43,Thermostat,49,284,0.1%,76.6%,23.4%,0.0%,218,66,0
Thermostat - Model 44,Thermostat,49,20,0.0%,63.1%,21.2%,15.7%,13,4,3
Thermostat - Model 45,Thermostat,49,79,0.0%,77.2%,15.7%,7.1%,61,12,6
Thermostat - Model 46,Thermostat,49,100,0.0%,53.3%,29.4%,17.3%,53,29,18
Thermostat - Model 47,Thermostat,49,198,0.1%,74.5%,13.1%,12.4%,148,26,24
Thermostat - Model 48,Thermostat,49,35,0.0%,58.6%,15.4%,26.1%,20,5,10
Thermostat - Model 49,Thermostat,49,401,0.1%,46.0%,28.9%,25.1%,184,116,101
Smart Lock - Model 1,Smart Lock,59,188,0.1%,74.6%,25.4%,0.0%,140,48,0
Smart Lock - Model 2,Smart Lock,59,96,0.0%,49.2%,5.9%,44.9%,47,6,43
Smart Lock - Model 3,Smart Lock,59,81,0.0%,72.2%,20.4%,7.4%,58,17,6
Smart Lock - Model 4,Smart Lock,59,43,0.0%,44.0%,19.7%,36.3%,19,8,16
Smart Lock - Model 5,Smart Lock,59,83,0.0%,58.1%,24.4%,17.5%,48,20,15
Smart Lock - Model 6,Smart Lock,59,2,0.0%,48.4%,16.3%,35.3%,1,0,1
Smart Lock - Model 7,Smart Lock,59,66,0.0%,46.2%,28.9%,24.8%,31,19,16
Smart Lock - Model 8,Smart Lock,59,60,0.0%,71.1%,23.4%,5.4%,43,14,3
Smart Lock - Model 9,Smart Lock,59,32,0.0%,67.6%,15.6%,16.8%,22,5,5
Smart Lock - Model 10,Smart Lock,59,17,0.0%,76.9%,6.8%,16.2%,13,1,3
Smart Lock - Model 11,Smart Lock,59,122,0.0%,72.1%,10.4%,17.5%,88,13,21
Smart Lock - Model 12,Smart Lock,59,4,0.0%,53.0%,18.0%,29.1%,2,1,1
Smart Lock - Model 13,Smart Lock,59,5,0.0%,71.3%,26.0%,2.7%,4,1,0
Smart Lock - Model 14,Smart Lock,59,43,0.0%,63.3%,15.1%,21.6%,27,6,10
Smart Lock - Model 15,Smart Lock,59,22,0.0%,77.9%,11.2%,11.0%,17,2,3
Smart Lock - Model 16,Smart Lock,59,102,0.0%,72.1%,20.3%,7.6%,74,21,7
Smart Lock - Model 17,Smart Lock,59,75,0.0%,55.1%,5.0%,39.9%,41,4,30
Smart Lock - Model 18,Smart Lock,59,110,0.0%,57.9%,11.9%,30.2%,64,13,33
Smart Lock - Model 19,Smart Lock,59,29,0.0%,44.2%,6.9%,48.9%,13,2,14
Smart Lock - Model 20,Smart Lock,59,100,0.0%,53.9%,20.4%,25.7%,54,20,26
Smart Lock - Model 21,Smart Lock,59,147,0.1%,73.5%,9.6%,16.9%,108,14,25
Smart Lock - Model 22,Smart Lock,59,31,0.0%,57.0%,14.8%,28.2%,18,5,8
Smart Lock - Model 23,Smart Lock,59,31,0.0%,60.5%,25.2%,14.2%,19,8,4
Smart Lock - Model 24,Smart Lock,59,171,0.1%,62.1%,26.2%,11.7%,106,45,20
Smart Lock - Model 25,Smart Lock,59,4,0.0%,60.7%,20.1%,19.2%,2,1,1
Smart Lock - Model 26,Smart Lock,59,32,0.0%,57.5%,25.6%,16.9%,18,8,6
Smart Lock - Model 27,Smart Lock,59,9,0.0%,77.0%,21.0%,2.1%,7,2,0
Smart Lock - Model 28,Smart Lock,59,2,0.0%,72.8%,6.5%,20.7%,1,0,1
Smart Lock - Model 29,Smart Lock,59,9,0.0%,76.2%,9.7%,14.0%,7,1,1
Smart Lock - Model 30,Smart Lock,59,42,0.0%,50.3%,6.3%,43.4%,21,3,18
Smart Lock - Model 31,Smart Lock,59,86,0.0%,76.2%,23.8%,0.0%,65,21,0
Smart Lock - Model 32,Smart Lock,59,25,0.0%,75.2%,24.8%,0.0%,19,6,0
Smart Lock - Model 33,Smart Lock,59,141,0.1%,59.2%,28.1%,12.7%,83,40,18
Smart Lock - Model 34,Smart Lock,59,43,0.0%,78.8%,17.6%,3.7%,34,8,1
Smart Lock - Model 35,Smart Lock,59,256,0.1%,47.0%,21.5%,31.5%,120,55,81
Smart Lock - Model 36,Smart Lock,59,229,0.1%,76.1%,23.9%,0.0%,174,55,0
Smart Lock - Model 37,Smart Lock,59,110,0.0%,73.1%,26.9%,0.0%,80,30,0
Smart Lock - Model 38,Smart Lock,59,200,0.1%,75.7%,24.3%,0.0%,151,49,0
Smart Lock - Model 39,Smart Lock,59,91,0.0%,68.7%,11.6%,19.6%,63,11,17
Smart Lock - Model 40,Smart Lock,59,168,0.1%,64.9%,18.0%,17.1%,109,30,29
Smart Lock - Model 41,Smart Lock,59,20,0.0%,74.5%,17.3%,8.2%,15,3,2
Smart Lock - Model 42,Smart Lock,59,31,0.0%,45.1%,5.1%,49.8%,14,2,15
Smart Lock - Model 43,Smart Lock,59,104,0.0%,67.1%,18.7%,14.1%,70,19,15
Smart Lock - Model 44,Smart Lock,59,41,0.0%,53.2%,9.2%,37.5%,22,4,15
Smart Lock - Model 45,Smart Lock,59,135,0.0%,58.7%,7.5%,33.8%,79,10,46
Smart Lock - Model 46,Smart Lock,59,156,0.1%,53.4%,14.5%,32.1%,83,23,50
Smart Lock - Model 47,Smart Lock,59,26,0.0%,58.6%,16.7%,24.7%,15,4,7
Smart Lock - Model 48,Smart Lock,59,129,0.0%,50.3%,26.3%,23.5%,65,34,30
Smart Lock - Model 49,Smart Lock,59,12,0.0%,54.2%,10.7%,35.0%,7,1,4
Smart Lock - Model 50,Smart Lock,59,30,0.0%,47.0%,13.1%,39.9%,14,4,12
Smart Lock - Model 51,Smart Lock,59,54,0.0%,42.7%,5.8%,51.5%,23,3,28
Smart Lock - Model 52,Smart Lock,59,19,0.0%,64.2%,20.5%,15.3%,12,4,3
Smart Lock - Model 53,Smart Lock,59,64,0.0%,61.2%,24.1%,14.8%,39,15,10
Smart Lock - Model 54,Smart Lock,59,64,0.0%,41.6%,28.4%,30.0%,27,18,19
Smart Lock - Model 55,Smart Lock,59,17,0.0%,43.8%,21.9%,34.3%,7,4,6
Smart Lock - Model 56,Smart Lock,59,118,0.0%,45.3%,27.0%,27.7%,53,32,33
Smart Lock - Model 57,Smart Lock,59,74,0.0%,60.4%,7.1%,32.5%,45,5,24
Smart Lock - Model 58,Smart Lock,59,28,0.0%,64.7%,5.2%,30.1%,18,1,9
Smart Lock - Model 59,Smart Lock,59,20,0.0%,71.0%,21.3%,7.7%,14,4,2
Smoke Detector - Model 1,Smoke Detector,170,65,0.0%,46.0%,16.6%,37.3%,30,11,24
Smoke Detector - Model 2,Smoke Detector,170,33,0.0%,67.2%,25.8%,7.0%,22,9,2
Smoke Detector - Model 3,Smoke Detector,170,69,0.0%,58.4%,19.8%,21.8%,40,14,15
Smoke Detector - Model 4,Smoke Detector,170,39,0.0%,50.7%,21.1%,28.2%,20,8,11
Smoke Detector - Model 5,Smoke Detector,170,16,0.0%,79.4%,6.2%,14.3%,13,1,2
Smoke Detector - Model 6,Smoke Detector,170,36,0.0%,75.5%,19.1%,5.5%,27,7,2
Smoke Detector - Model 7,Smoke Detector,170,33,0.0%,50.1%,28.9%,21.0%,17,10,6
Smoke Detector - Model 8,Smoke Detector,170,75,0.0%,59.3%,13.3%,27.4%,45,10,20
Smoke Detector - Model 9,Smoke Detector,170,174,0.1%,47.3%,11.1%,41.6%,82,19,73
Smoke Detector - Model 10,Smoke Detector,170,23,0.0%,73.3%,20.4%,6.3%,17,5,1
Smoke Detector - Model 11,Smoke Detector,170,62,0.0%,76.5%,10.8%,12.7%,47,7,8
Smoke Detector - Model 12,Smoke Detector,170,5,0.0%,44.8%,5.2%,50.0%,2,0,3
Smoke Detector - Model 13,Smoke Detector,170,65,0.0%,60.3%,30.0%,9.7%,39,19,7
Smoke Detector - Model 14,Smoke Detector,170,20,0.0%,67.8%,12.7%,19.5%,14,3,3
Smoke Detector - Model 15,Smoke Detector,170,2,0.0%,75.1%,24.5%,0.4%,2,0,0
Smoke Detector - Model 16,Smoke Detector,170,20,0.0%,40.6%,25.4%,34.0%,8,5,7
Smoke Detector - Model 17,Smoke Detector,170,41,0.0%,52.0%,8.7%,39.2%,21,4,16
Smoke Detector - Model 18,Smoke Detector,170,6,0.0%,49.1%,16.7%,34.2%,3,1,2
Smoke Detector - Model 19,Smoke Detector,170,112,0.0%,57.0%,12.2%,30.8%,64,14,34
Smoke Detector - Model 20,Smoke Detector,170,4,0.0%,46.9%,24.1%,29.1%,2,1,1
Smoke Detector - Model 21,Smoke Detector,170,115,0.0%,77.6%,22.4%,0.0%,89,26,0
Smoke Detector - Model 22,Smoke Detector,170,53,0.0%,51.8%,11.1%,37.0%,27,6,20
Smoke Detector - Model 23,Smoke Detector,170,17,0.0%,48.7%,8.4%,42.9%,8,1,8
Smoke Detector - Model 24,Smoke Detector,170,21,0.0%,62.1%,20.1%,17.8%,13,4,4
Smoke Detector - Model 25,Smoke Detector,170,59,0.0%,68.2%,22.0%,9.8%,40,13,6
Smoke Detector - Model 26,Smoke Detector,170,40,0.0%,51.7%,13.3%,35.0%,21,5,14
Smoke Detector - Model 27,Smoke Detector,170,48,0.0%,67.3%,13.7%,19.0%,32,7,9
Smoke Detector - Model 28,Smoke Detector,170,21,0.0%,48.5%,14.4%,37.1%,10,3,8
Smoke Detector - Model 29,Smoke Detector,170,29,0.0%,50.9%,7.2%,41.9%,15,2,12
Smoke Detector - Model 30,Smoke Detector,170,199,0.1%,73.2%,26.3%,0.5%,146,52,1
Smoke Detector - Model 31,Smoke Detector,170,10,0.0%,48.8%,6.6%,44.6%,5,1,4
Smoke Detector - Model 32,Smoke Detector,170,23,0.0%,69.6%,10.3%,20.2%,16,2,5
Smoke Detector - Model 33,Smoke Detector,170,15,0.0%,55.7%,6.6%,37.7%,8,1,6
Smoke Detector - Model 34,Smoke Detector,170,63,0.0%,49.1%,24.8%,26.1%,31,16,16
Smoke Detector - Model 35,Smoke Detector,170,63,0.0%,72.2%,10.2%,17.6%,45,6,12
Smoke Detector - Model 36,Smoke Detector,170,15,0.0%,53.4%,8.4%,38.2%,8,1,6
Smoke Detector - Model 37,Smoke Detector,170,4,0.0%,43.0%,29.8%,27.2%,2,1,1
Smoke Detector - Model 38,Smoke Detector,170,0,0.0%,66.2%,18.6%,15.2%,0,0,0
Smoke Detector - Model 39,Smoke Detector,170,24,0.0%,70.6%,26.0%,3.4%,17,6,1
Smoke Detector - Model 40,Smoke Detector,170,23,0.0%,72.3%,5.4%,22.3%,17,1,5
Smoke Detector - Model 41,Smoke Detector,170,193,0.1%,47.5%,21.4%,31.2%,92,41,60
Smoke Detector - Model 42,Smoke Detector,170,28,0.0%,55.0%,29.6%,15.4%,15,8,5
Smoke Detector - Model 43,Smoke Detector,170,13,0.0%,66.6%,28.9%,4.5%,9,4,0
Smoke Detector - Model 44,Smoke Detector,170,96,0.0%,48.1%,26.6%,25.3%,46,26,24
Smoke Detector - Model 45,Smoke Detector,170,29,0.0%,52.9%,29.7%,17.4%,15,9,5
Smoke Detector - Model 46,Smoke Detector,170,40,0.0%,46.3%,17.9%,35.8%,19,7,14
Smoke Detector - Model 47,Smoke Detector,170,4,0.0%,71.7%,15.8%,12.5%,3,1,0
Smoke Detector - Model 48,Smoke Detector,170,21,0.0%,58.7%,29.7%,11.6%,12,6,3
Smoke Detector - Model 49,Smoke Detector,170,125,0.0%,57.0%,20.1%,22.9%,71,25,29
Smoke Detector - Model 50,Smoke Detector,170,39,0.0%,42.2%,26.1%,31.8%,16,10,13
Smoke Detector - Model 51,Smoke Detector,170,18,0.0%,65.9%,15.1%,19.0%,12,3,3
Smoke Detector - Model 52,Smoke Detector,170,43,0.0%,40.6%,19.8%,39.6%,17,9,17
Smoke Detector - Model 53,Smoke Detector,170,105,0.0%,40.5%,5.0%,54.5%,43,5,57
Smoke Detector - Model 54,Smoke Detector,170,14,0.0%,64.6%,9.7%,25.6%,9,1,4
Smoke Detector - Model 55,Smoke Detector,170,30,0.0%,47.7%,21.3%,31.0%,14,6,10
Smoke Detector - Model 56,Smoke Detector,170,138,0.0%,42.1%,12.8%,45.0%,58,18,62
Smoke Detector - Model 57,Smoke Detector,170,8,0.0%,46.0%,19.5%,34.5%,4,2,2
Smoke Detector - Model 58,Smoke Detector,170,55,0.0%,66.5%,23.0%,10.5%,37,13,5
Smoke Detector - Model 59,Smoke Detector,170,41,0.0%,50.2%,7.2%,42.6%,21,3,17
Smoke Detector - Model 60,Smoke Detector,170,49,0.0%,43.1%,15.7%,41.2%,21,8,20
Smoke Detector - Model 61,Smoke Detector,170,19,0.0%,77.8%,10.4%,11.7%,15,2,2
Smoke Detector - Model 62,Smoke Detector,170,16,0.0%,50.3%,7.5%,42.2%,8,1,7
Smoke Detector - Model 63,Smoke Detector,170,50,0.0%,64.2%,22.0%,13.8%,32,11,7
Smoke Detector - Model 64,Smoke Detector,170,11,0.0%,65.7%,26.5%,7.8%,7,3,1
Smoke Detector - Model 65,Smoke Detector,170,24,0.0%,59.5%,8.4%,32.2%,14,2,8
Smoke Detector - Model 66,Smoke Detector,170,9,0.0%,51.6%,21.6%,26.9%,5,2,2
Smoke Detector - Model 67,Smoke Detector,170,0,0.0%,64.5%,18.3%,17.2%,0,0,0
Smoke Detector - Model 68,Smoke Detector,170,152,0.1%,67.3%,20.9%,11.7%,102,32,18
Smoke Detector - Model 69,Smoke Detector,170,25,0.0%,75.3%,19.7%,5.1%,19,5,1
Smoke Detector - Model 70,Smoke Detector,170,151,0.1%,71.1%,11.2%,17.6%,107,17,27
Smoke Detector - Model 71,Smoke Detector,170,7,0.0%,67.1%,27.6%,5.3%,5,2,0
Smoke Detector - Model 72,Smoke Detector,170,38,0.0%,55.4%,24.5%,20.1%,21,9,8
Smoke Detector - Model 73,Smoke Detector,170,10,0.0%,69.0%,6.5%,24.5%,7,1,2
Smoke Detector - Model 74,Smoke Detector,170,68,0.0%,63.3%,8.3%,28.5%,43,6,19
Smoke Detector - Model 75,Smoke Detector,170,66,0.0%,76.7%,23.3%,0.0%,51,15,0
Smoke Detector - Model 76,Smoke Detector,170,5,0.0%,44.4%,8.0%,47.6%,2,0,3
Smoke Detector - Model 77,Smoke Detector,170,105,0.0%,63.8%,13.6%,22.6%,67,14,24
Smoke Detector - Model 78,Smoke Detector,170,9,0.0%,41.4%,18.5%,40.1%,4,2,3
Smoke Detector - Model 79,Smoke Detector,170,41,0.0%,55.5%,7.5%,37.0%,23,3,15
Smoke Detector - Model 80,Smoke Detector,170,184,0.1%,72.1%,27.9%,0.0%,133,51,0
Smoke Detector - Model 81,Smoke Detector,170,93,0.0%,70.3%,25.6%,4.2%,65,24,4
Smoke Detector - Model 82,Smoke Detector,170,136,0.0%,48.7%,11.6%,39.8%,66,16,54
Smoke Detector - Model 83,Smoke Detector,170,18,0.0%,48.3%,24.1%,27.5%,9,4,5
Smoke Detector - Model 84,Smoke Detector,170,5,0.0%,77.5%,22.5%,0.0%,4,1,0
Smoke Detector - Model 85,Smoke Detector,170,9,0.0%,75.3%,21.0%,3.8%,7,2,0
Smoke Detector - Model 86,Smoke Detector,170,30,0.0%,55.5%,15.6%,28.8%,17,5,8
Smoke Detector - Model 87,Smoke Detector,170,68,0.0%,43.0%,5.8%,51.2%,29,4,35
Smoke Detector - Model 88,Smoke Detector,170,7,0.0%,67.8%,16.0%,16.2%,5,1,1
Smoke Detector - Model 89,Smoke Detector,170,47,0.0%,62.1%,18.9%,19.0%,29,9,9
Smoke Detector - Model 90,Smoke Detector,170,17,0.0%,51.1%,16.9%,32.0%,9,3,5
Smoke Detector - Model 91,Smoke Detector,170,18,0.0%,58.8%,14.7%,26.5%,11,3,4
Smoke Detector - Model 92,Smoke Detector,170,47,0.0%,72.8%,16.3%,10.9%,34,8,5
Smoke Detector - Model 93,Smoke Detector,170,27,0.0%,64.1%,27.4%,8.5%,17,7,3
Smoke Detector - Model 94,Smoke Detector,170,72,0.0%,73.7%,26.3%,0.0%,53,19,0
Smoke Detector - Model 95,Smoke Detector,170,7,0.0%,50.8%,5.9%,43.3%,4,0,3
Smoke Detector - Model 96,Smoke Detector,170,68,0.0%,50.4%,12.0%,37.6%,34,8,26
Smoke Detector - Model 97,Smoke Detector,170,3,0.0%,76.4%,21.2%,2.4%,2,1,0
Smoke Detector - Model 98,Smoke Detector,170,9,0.0%,43.3%,8.4%,48.3%,4,1,4
Smoke Detector - Model 99,Smoke Detector,170,46,0.0%,46.2%,20.8%,33.0%,21,10,15
Smoke Detector - Model 100,Smoke Detector,170,84,0.0%,69.4%,26.5%,4.1%,58,22,4
Smoke Detector - Model 101,Smoke Detector,170,13,0.0%,77.6%,10.0%,12.3%,10,1,2
Smoke Detector - Model 102,Smoke Detector,170,17,0.0%,52.4%,11.0%,36.6%,9,2,6
Smoke Detector - Model 103,Smoke Detector,170,33,0.0%,54.4%,27.9%,17.8%,18,9,6
Smoke Detector - Model 104,Smoke Detector,170,10,0.0%,63.0%,23.5%,13.5%,6,2,2
Smoke Detector - Model 105,Smoke Detector,170,72,0.0%,59.6%,5.7%,34.7%,43,4,25
Smoke Detector - Model 106,Smoke Detector,170,64,0.0%,42.6%,18.4%,39.0%,27,12,25
Smoke Detector - Model 107,Smoke Detector,170,7,0.0%,68.8%,10.4%,20.9%,5,1,1
Smoke Detector - Model 108,Smoke Detector,170,27,0.0%,68.9%,25.3%,5.9%,19,7,1
Smoke Detector - Model 109,Smoke Detector,170,65,0.0%,56.5%,23.7%,19.9%,37,15,13
Smoke Detector - Model 110,Smoke Detector,170,18,0.0%,56.2%,22.0%,21.9%,10,4,4
Smoke Detector - Model 111,Smoke Detector,170,43,0.0%,70.4%,29.6%,0.0%,30,13,0
Smoke Detector - Model 112,Smoke Detector,170,2,0.0%,53.8%,15.3%,30.9%,1,0,1
Smoke Detector - Model 113,Smoke Detector,170,41,0.0%,46.6%,10.1%,43.3%,19,4,18
Smoke Detector - Model 114,Smoke Detector,170,7,0.0%,67.7%,27.9%,4.3%,5,2,0
Smoke Detector - Model 115,Smoke Detector,170,77,0.0%,55.8%,9.5%,34.7%,43,7,27
Smoke Detector - Model 116,Smoke Detector,170,19,0.0%,51.4%,16.4%,32.2%,10,3,6
Smoke Detector - Model 117,Smoke Detector,170,14,0.0%,51.6%,10.8%,37.5%,7,2,5
Smoke Detector - Model 118,Smoke Detector,170,80,0.0%,69.4%,5.2%,25.4%,56,4,20
Smoke Detector - Model 119,Smoke Detector,170,2,0.0%,61.6%,24.8%,13.6%,1,0,1
Smoke Detector - Model 120,Smoke Detector,170,22,0.0%,50.6%,20.1%,29.3%,11,4,7
Smoke Detector - Model 121,Smoke Detector,170,20,0.0%,66.8%,21.4%,11.9%,13,4,3
Smoke Detector - Model 122,Smoke Detector,170,15,0.0%,57.8%,13.7%,28.5%,9,2,4
Smoke Detector - Model 123,Smoke Detector,170,105,0.0%,73.4%,24.0%,2.6%,77,25,3
Smoke Detector - Model 124,Smoke Detector,170,60,0.0%,52.9%,7.6%,39.6%,32,5,23
Smoke Detector - Model 125,Smoke Detector,170,3,0.0%,42.9%,7.4%,49.8%,1,0,2
Smoke Detector - Model 126,Smoke Detector,170,54,0.0%,63.3%,6.3%,30.4%,34,3,17
Smoke Detector - Model 127,Smoke Detector,170,32,0.0%,53.5%,23.8%,22.7%,17,8,7
Smoke Detector - Model 128,Smoke Detector,170,100,0.0%,51.8%,24.1%,24.1%,52,24,24
Smoke Detector - Model 129,Smoke Detector,170,16,0.0%,69.8%,11.1%,19.0%,11,2,3
Smoke Detector - Model 130,Smoke Detector,170,37,0.0%,69.2%,23.7%,7.2%,26,9,2
Smoke Detector - Model 131,Smoke Detector,170,30,0.0%,55.9%,10.3%,33.8%,17,3,10
Smoke Detector - Model 132,Smoke Detector,170,29,0.0%,60.9%,28.0%,11.1%,18,8,3
Smoke Detector - Model 133,Smoke Detector,170,26,0.0%,65.6%,9.3%,25.1%,17,2,7
Smoke Detector - Model 134,Smoke Detector,170,10,0.0%,67.3%,15.7%,17.0%,7,2,1
Smoke Detector - Model 135,Smoke Detector,170,61,0.0%,63.7%,23.4%,13.0%,39,14,8
Smoke Detector - Model 136,Smoke Detector,170,26,0.0%,60.6%,25.3%,14.1%,16,7,3
Smoke Detector - Model 137,Smoke Detector,170,138,0.0%,68.9%,20.4%,10.7%,95,28,15
Smoke Detector - Model 138,Smoke Detector,170,13,0.0%,46.0%,25.9%,28.1%,6,3,4
Smoke Detector - Model 139,Smoke Detector,170,50,0.0%,77.4%,8.4%,14.1%,39,4,7
Smoke Detector - Model 140,Smoke Detector,170,123,0.0%,59.5%,11.5%,29.0%,73,14,36
Smoke Detector - Model 141,Smoke Detector,170,47,0.0%,70.2%,23.0%,6.8%,33,11,3
Smoke Detector - Model 142,Smoke Detector,170,89,0.0%,45.6%,26.9%,27.4%,41,24,24
Smoke Detector - Model 143,Smoke Detector,170,76,0.0%,47.2%,24.9%,27.8%,36,19,21
Smoke Detector - Model 144,Smoke Detector,170,19,0.0%,58.3%,13.2%,28.5%,11,3,5
Smoke Detector - Model 145,Smoke Detector,170,40,0.0%,46.3%,9.2%,44.5%,19,4,17
Smoke Detector - Model 146,Smoke Detector,170,7,0.0%,66.5%,18.8%,14.8%,5,1,1
Smoke Detector - Model 147,Smoke Detector,170,33,0.0%,44.9%,7.8%,47.3%,15,3,15
Smoke Detector - Model 148,Smoke Detector,170,11,0.0%,42.9%,23.6%,33.5%,5,3,3
